job_title,salary
Site Reliability Engineer,159923.08 to 163948.72
Consultant,167974.36 to 172000.0
Consultant,71358.97 to 75384.62
Engineer,192128.21 to 196153.85
Analyst,220307.69 to 224333.33
Analyst,139794.87 to 143820.51
Analyst,91487.18 to 95512.82
Solutions Engineer,79410.26 to 83435.9
Data Integration Engineer,228358.97 to 232384.62
Data Integration Engineer,147846.15 to 151871.79
Data Scientist,67333.33 to 71358.97
Data Scientist,192128.21 to 196153.85
Director of Machine Learning,248487.18 to 252512.82
Director of Machine Learning,216282.05 to 220307.69
Statistician,204205.13 to 208230.77
Statistician,127717.95 to 131743.59
Engineer,119666.67 to 123692.31
Engineer,79410.26 to 83435.9
Analyst,55256.41 to 59282.05
Analyst,47205.13 to 51230.77
Product Manager,296794.87 to 300820.51
Product Manager,143820.51 to 147846.15
Data Reporting Analyst,139794.87 to 143820.51
Data Reporting Analyst,83435.9 to 87461.54
Data Manager,159923.08 to 163948.72
Data Manager,103564.1 to 107589.74
Data Manager,127717.95 to 131743.59
Data Manager,107589.74 to 111615.38
Data Manager,95512.82 to 99538.46
Data Manager,79410.26 to 83435.9
Data Manager,131743.59 to 135769.23
Data Manager,91487.18 to 95512.82
Statistical Programmer,147846.15 to 151871.79
Statistical Programmer,107589.74 to 111615.38
Data Analyst,59282.05 to 63307.69
Data Analyst,51230.77 to 55256.41
Machine Learning Engineer,248487.18 to 252512.82
Research Assistant,59282.05 to 63307.69
Research Assistant,31102.56 to 35128.21
Engineer,276666.67 to 280692.31
Engineer,135769.23 to 139794.87
Consultant,196153.85 to 200179.49
Consultant,107589.74 to 111615.38
Engineer,99538.46 to 103564.1
Product Manager,176025.64 to 180051.28
Product Manager,79410.26 to 83435.9
Architect,256538.46 to 260564.1
Architect,155897.44 to 159923.08
Application Developer,111615.38 to 115641.03
Application Developer,59282.05 to 63307.69
Data Architect,107589.74 to 111615.38
AI Engineer,292769.23 to 296794.87
AI Engineer,192128.21 to 196153.85
BI Engineer,119666.67 to 123692.31
BI Engineer,87461.54 to 91487.18
Data Analyst,167974.36 to 172000.0
Data Analytics Lead,188102.56 to 192128.21
Data Analytics Lead,123692.31 to 127717.95
Software Engineer,151871.79 to 155897.44
Software Developer,248487.18 to 252512.82
Data Governance Specialist,192128.21 to 196153.85
Data Governance Specialist,111615.38 to 115641.03
Data Governance,192128.21 to 196153.85
Data Governance,111615.38 to 115641.03
Analyst,99538.46 to 103564.1
Data Specialist,200179.49 to 204205.13
Data Specialist,119666.67 to 123692.31
Engineering Manager,341076.92 to 345102.56
Engineering Manager,192128.21 to 196153.85
Manager,280692.31 to 284717.95
Analyst,67333.33 to 71358.97
Business Analyst,75384.62 to 79410.26
Data Scientist,337051.28 to 341076.92
Data Scientist,27076.92 to 31102.56
Data Scientist,240435.9 to 244461.54
Data Scientist,208230.77 to 212256.41
Data Scientist,184076.92 to 188102.56
Software Engineer,91487.18 to 95512.82
Developer,163948.72 to 167974.36
Developer,119666.67 to 123692.31
Insight Analyst,55256.41 to 59282.05
Insight Analyst,43179.49 to 47205.13
Machine Learning Engineer,119666.67 to 123692.31
