job_xp,salary
Manager (EN),70908.8 to 73146.29
Python Developer (MI),70908.8 to 73146.29
Data Manager (MI),70908.8 to 73146.29
Business Intelligence Developer (MI),70908.8 to 73146.29
Analytics Engineer (SE),70908.8 to 73146.29
Software Engineer (SE),70908.8 to 73146.29
Data Governance (EN),70908.8 to 73146.29
Engineer (EN),70908.8 to 73146.29
Machine Learning Scientist (MI),70908.8 to 73146.29
AI Specialist (SE),70908.8 to 73146.29
Software Engineer (MI),70908.8 to 73146.29
Engineer (SE),70908.8 to 73146.29
Machine Learning Engineer (SE),70908.8 to 73146.29
Robotics Engineer (SE),70908.8 to 73146.29
Data Integration Specialist (MI),70908.8 to 73146.29
Business Analyst (EN),70908.8 to 73146.29
Software Developer (EN),70908.8 to 73146.29
Data Engineer (EN),70908.8 to 73146.29
Computer Vision Engineer (SE),70908.8 to 73146.29
Power BI Developer (MI),70908.8 to 73146.29
Business Intelligence (MI),70908.8 to 73146.29
Data Specialist (SE),70908.8 to 73146.29
Analytics Engineer (MI),70908.8 to 73146.29
Business Intelligence Engineer (MI),70908.8 to 73146.29
Business Analyst (SE),70908.8 to 73146.29
BI Data Analyst (SE),70908.8 to 73146.29
BI Analyst (MI),70908.8 to 73146.29
Consultant (MI),70908.8 to 73146.29
Data Quality Analyst (SE),70908.8 to 73146.29
Data Operations Analyst (MI),70908.8 to 73146.29
AI Developer (EN),70908.8 to 73146.29
Data Manager (SE),70908.8 to 73146.29
Decision Scientist (MI),70908.8 to 73146.29
Software Development Engineer (MI),70908.8 to 73146.29
Cloud Engineer (MI),70908.8 to 73146.29
Data Architect (SE),70908.8 to 73146.29
Software Development Engineer (EN),70908.8 to 73146.29
Insight Analyst (EN),70908.8 to 73146.29
Manager (SE),70908.8 to 73146.29
Bear Robotics (EN),70908.8 to 73146.29
Data Governance Specialist (SE),70908.8 to 73146.29
Research Analyst (SE),70908.8 to 73146.29
Business Intelligence (SE),70908.8 to 73146.29
Data Management Coordinator (SE),70908.8 to 73146.29
Data Manager (EX),70908.8 to 73146.29
Data Governance Lead (SE),70908.8 to 73146.29
Developer (SE),70908.8 to 73146.29
Data Management Specialist (MI),70908.8 to 73146.29
Head of Data (MI),70908.8 to 73146.29
Research Associate (MI),70908.8 to 73146.29
Business Intelligence Analyst (EN),70908.8 to 73146.29
Insight Analyst (MI),70908.8 to 73146.29
BI Developer (MI),70908.8 to 73146.29
Data Operations Associate (EN),70908.8 to 73146.29
Architect (SE),70908.8 to 73146.29
Research Analyst (EN),70908.8 to 73146.29
QA Engineer (SE),70908.8 to 73146.29
Applied Scientist (SE),70908.8 to 73146.29
Data Strategist (SE),70908.8 to 73146.29
Data Integrity Analyst (MI),70908.8 to 73146.29
Data Engineer (EX),70908.8 to 73146.29
Consultant (EN),70908.8 to 73146.29
Data Reporting Analyst (SE),70908.8 to 73146.29
Data and Reporting Professional (SE),70908.8 to 73146.29
NLP Engineer (SE),70908.8 to 73146.29
Prompt Engineer (MI),70908.8 to 73146.29
Developer (MI),70908.8 to 73146.29
Data Governance Specialist (MI),70908.8 to 73146.29
Research Scientist (MI),70908.8 to 73146.29
Decision Scientist (SE),70908.8 to 73146.29
Pricing Analyst (EN),70908.8 to 73146.29
Associate (EN),70908.8 to 73146.29
Data Management Lead (SE),70908.8 to 73146.29
Research Analyst (MI),70908.8 to 73146.29
Data Developer (SE),70908.8 to 73146.29
Lead Analyst (SE),70908.8 to 73146.29
Data Scientist (SE),68739.75 to 70908.8
Data Analyst (MI),68739.75 to 70908.8
Data Engineer (MI),68739.75 to 70908.8
Data Analyst (EN),68739.75 to 70908.8
Data Engineer (EN),68739.75 to 70908.8
Analyst (EN),68739.75 to 70908.8
Product Analyst (EN),68739.75 to 70908.8
Business Intelligence Analyst (MI),68739.75 to 70908.8
Data Governance Specialist (MI),68739.75 to 70908.8
Data Specialist (MI),68739.75 to 70908.8
Data Scientist (MI),68739.75 to 70908.8
Machine Learning Engineer (EN),68739.75 to 70908.8
Business Intelligence Developer (SE),68739.75 to 70908.8
Data Scientist (EN),68739.75 to 70908.8
Software Developer (MI),68739.75 to 70908.8
Postdoctoral Researcher (MI),68739.75 to 70908.8
Data and Reporting Analyst (SE),68739.75 to 70908.8
Business Intelligence Analyst (EN),68739.75 to 70908.8
Engineer (EN),68739.75 to 70908.8
Business Intelligence Developer (MI),68739.75 to 70908.8
Data Reporting Analyst (SE),68739.75 to 70908.8
Software Engineer (SE),68739.75 to 70908.8
Consultant (MI),68739.75 to 70908.8
Statistician (MI),68739.75 to 70908.8
Product Manager (MI),68739.75 to 70908.8
Analyst (SE),68739.75 to 70908.8
Data Management Analyst (SE),68739.75 to 70908.8
Associate (EN),68739.75 to 70908.8
Engineer (SE),68739.75 to 70908.8
Power BI (EN),68739.75 to 70908.8
Engineer (MI),68739.75 to 70908.8
AI Developer (MI),68739.75 to 70908.8
Software Engineer (MI),68739.75 to 70908.8
Analyst (MI),68739.75 to 70908.8
Data Engineer (SE),68739.75 to 70908.8
Robotics Engineer (MI),68739.75 to 70908.8
Cloud Engineer (EX),68739.75 to 70908.8
Research Analyst (EN),68739.75 to 70908.8
Associate (MI),68739.75 to 70908.8
Data Product Manager (SE),68739.75 to 70908.8
Data Analyst (SE),68739.75 to 70908.8
Data Strategist (SE),68739.75 to 70908.8
Data Operations Analyst (EN),68739.75 to 70908.8
Data Manager (MI),68739.75 to 70908.8
Research Engineer (MI),68739.75 to 70908.8
Data Manager (SE),68739.75 to 70908.8
Business Intelligence Engineer (EN),68739.75 to 70908.8
Machine Learning Engineer (SE),68739.75 to 70908.8
Applied Machine Learning Engineer (MI),68739.75 to 70908.8
Full Stack Developer (EN),68739.75 to 70908.8
Analyst (EX),68739.75 to 70908.8
Quantitative Analyst (EN),68739.75 to 70908.8
Data Architect (SE),68739.75 to 70908.8
Data Analytics Manager (MI),68739.75 to 70908.8
Data Operations (MI),68739.75 to 70908.8
Data Specialist (EX),68739.75 to 70908.8
Data Integration Specialist (MI),68739.75 to 70908.8
BI Analyst (MI),68739.75 to 70908.8
Insight Analyst (EN),68739.75 to 70908.8
Data Reporting Analyst (EN),68739.75 to 70908.8
BI Developer (MI),68739.75 to 70908.8
Computer Vision Software Engineer (EN),68739.75 to 70908.8
Big Data Engineer (EN),68739.75 to 70908.8
Research Associate (MI),68739.75 to 70908.8
Solution Architect (SE),68739.75 to 70908.8
BI Data Analyst (MI),68739.75 to 70908.8
BI Engineer (MI),68739.75 to 70908.8
Data Operations Specialist (MI),68739.75 to 70908.8
BI Developer (SE),68739.75 to 70908.8
Data Governance Analyst (SE),68739.75 to 70908.8
Business Intelligence (SE),68739.75 to 70908.8
Data Integration Engineer (MI),68739.75 to 70908.8
Machine Learning Specialist (MI),68739.75 to 70908.8
Power BI Developer (EN),68739.75 to 70908.8
Research Scientist (MI),68739.75 to 70908.8
Data Quality Analyst (MI),68739.75 to 70908.8
Solutions Architect (SE),68739.75 to 70908.8
Manager (EX),68739.75 to 70908.8
Data Management Analyst (EN),68739.75 to 70908.8
Software Engineer (EN),68739.75 to 70908.8
Machine Learning Scientist (MI),68739.75 to 70908.8
BI Engineer (EN),68739.75 to 70908.8
Data Governance Analyst (EN),68739.75 to 70908.8
Data Integration Analyst (EN),68739.75 to 70908.8
Developer (MI),68739.75 to 70908.8
Postdoctoral Fellow (MI),68739.75 to 70908.8
AI Programmer (EN),68739.75 to 70908.8
Quantitative Researcher (MI),68739.75 to 70908.8
Data Developer (EN),68739.75 to 70908.8
Data Scientist Associate (MI),68739.75 to 70908.8
Manager (SE),68739.75 to 70908.8
Data Specialist (SE),68739.75 to 70908.8
Manager (MI),68739.75 to 70908.8
Sales Development Representative (EN),68739.75 to 70908.8
AI Lead (MI),68739.75 to 70908.8
Account Executive (EX),68739.75 to 70908.8
Power BI Developer (MI),68739.75 to 70908.8
Data Analyst (EX),68739.75 to 70908.8
Data Quality Analyst (EN),68739.75 to 70908.8
Business Intelligence (EN),68739.75 to 70908.8
Data Manager (EX),68739.75 to 70908.8
Business Analyst (EN),68739.75 to 70908.8
Python Developer (SE),68739.75 to 70908.8
Data Management Associate (MI),68739.75 to 70908.8
Data Operations Engineer (SE),68739.75 to 70908.8
Data Operations Specialist (SE),68739.75 to 70908.8
Research Analyst (MI),68739.75 to 70908.8
Data Management Specialist (MI),68739.75 to 70908.8
Big Data Developer (MI),68739.75 to 70908.8
Data Operations Engineer (MI),68739.75 to 70908.8
Business Intelligence Developer (EN),68739.75 to 70908.8
QA Engineer (SE),68739.75 to 70908.8
Data Visualization Engineer (MI),68739.75 to 70908.8
Business Intelligence Analyst (SE),68739.75 to 70908.8
AI Engineer (EN),68739.75 to 70908.8
BI Analyst (EN),68739.75 to 70908.8
Data Integration Analyst (MI),68739.75 to 70908.8
Data Management Analyst (MI),68739.75 to 70908.8
Analytics Specialist (SE),68739.75 to 70908.8
Encounter Data Management Professional (SE),68739.75 to 70908.8
Data Scientist (EX),68739.75 to 70908.8
Data Management Specialist (SE),68739.75 to 70908.8
Analytics Engineer (SE),68739.75 to 70908.8
Data Architect (MI),68739.75 to 70908.8
Cloud Engineer (MI),68739.75 to 70908.8
Data Integration Specialist (EN),68739.75 to 70908.8
Power BI Expert (SE),68739.75 to 70908.8
MLOps Engineer (MI),68739.75 to 70908.8
Solutions Engineer (MI),68739.75 to 70908.8
Business Analyst (SE),68739.75 to 70908.8
Lead Machine Learning Engineer (SE),68739.75 to 70908.8
AI Product Owner (MI),68739.75 to 70908.8
BI Analyst (SE),68739.75 to 70908.8
Business Intelligence Engineer (SE),68739.75 to 70908.8
Consultant (SE),68739.75 to 70908.8
Data Analytics Consultant (SE),68739.75 to 70908.8
Data Specialist (EN),68739.75 to 70908.8
Data Developer (MI),68739.75 to 70908.8
Business Data Analyst (MI),68739.75 to 70908.8
Python Developer (MI),68739.75 to 70908.8
Data Reporting Analyst (MI),68739.75 to 70908.8
System Engineer (MI),68739.75 to 70908.8
Data Quality Analyst (SE),68739.75 to 70908.8
Data Modeler (MI),68739.75 to 70908.8
Business Intelligence (MI),68739.75 to 70908.8
Data Visualization Specialist (MI),68739.75 to 70908.8
Business Development Representative (MI),68739.75 to 70908.8
Data Visualization Analyst (MI),68739.75 to 70908.8
Data Lead (SE),68739.75 to 70908.8
Data Quality Manager (MI),68739.75 to 70908.8
Analytics Engineer (MI),68739.75 to 70908.8
Machine Learning Developer (MI),68739.75 to 70908.8
Associate (SE),68739.75 to 70908.8
MLOps Engineer (SE),68739.75 to 70908.8
Cloud Database Engineer (MI),68739.75 to 70908.8
Machine Learning Engineer (MI),68739.75 to 70908.8
Data Product Owner (MI),68739.75 to 70908.8
Insight Analyst (SE),68739.75 to 70908.8
AI Developer (SE),68739.75 to 70908.8
Consultant (MI),66637.05 to 68739.75
Data Scientist (EN),66637.05 to 68739.75
Data Analyst (SE),66637.05 to 68739.75
Actuarial Analyst (SE),66637.05 to 68739.75
Data Scientist (MI),66637.05 to 68739.75
Analyst (SE),66637.05 to 68739.75
Engineer (EN),66637.05 to 68739.75
Data Engineer (MI),66637.05 to 68739.75
Data Specialist (MI),66637.05 to 68739.75
Associate (MI),66637.05 to 68739.75
Business Analyst (EN),66637.05 to 68739.75
Data Analyst (EN),66637.05 to 68739.75
Engineer (MI),66637.05 to 68739.75
Data Analytics Manager (MI),66637.05 to 68739.75
Data Engineer (SE),66637.05 to 68739.75
Associate (SE),66637.05 to 68739.75
Research Analyst (EN),66637.05 to 68739.75
Data Analyst (MI),66637.05 to 68739.75
Data Management Analyst (EN),66637.05 to 68739.75
Analyst (MI),66637.05 to 68739.75
Statistical Programmer (MI),66637.05 to 68739.75
Data Scientist (SE),66637.05 to 68739.75
Prompt Engineer (MI),66637.05 to 68739.75
Engineer (SE),66637.05 to 68739.75
Technical Lead (SE),66637.05 to 68739.75
Machine Learning Engineer (EN),66637.05 to 68739.75
Data Architect (SE),66637.05 to 68739.75
Data Visualization Engineer (MI),66637.05 to 68739.75
Data Manager (MI),66637.05 to 68739.75
Business Intelligence Developer (MI),66637.05 to 68739.75
Analyst (EN),66637.05 to 68739.75
Machine Learning Engineer (SE),66637.05 to 68739.75
Data Management Specialist (SE),66637.05 to 68739.75
Business Intelligence Specialist (MI),66637.05 to 68739.75
AI Engineer (MI),66637.05 to 68739.75
Software Development Engineer (MI),66637.05 to 68739.75
Data Governance Analyst (EN),66637.05 to 68739.75
Software Developer (MI),66637.05 to 68739.75
Data Specialist (SE),66637.05 to 68739.75
Data Quality Analyst (EN),66637.05 to 68739.75
Data Governance Manager (MI),66637.05 to 68739.75
Developer (MI),66637.05 to 68739.75
Business Intelligence Developer (EN),66637.05 to 68739.75
Product Analyst (EN),66637.05 to 68739.75
Master Data Management (SE),66637.05 to 68739.75
Data Manager (SE),66637.05 to 68739.75
Manager (MI),66637.05 to 68739.75
Data Analyst (EX),66637.05 to 68739.75
Data Management Specialist (MI),66637.05 to 68739.75
BI Developer (SE),66637.05 to 68739.75
Consultant (SE),66637.05 to 68739.75
Business Intelligence Analyst (MI),66637.05 to 68739.75
Software Engineer (MI),66637.05 to 68739.75
Master Data Management (MI),66637.05 to 68739.75
Data Quality Specialist (MI),66637.05 to 68739.75
Actuarial Analyst (EN),66637.05 to 68739.75
Lead Data Analyst (MI),66637.05 to 68739.75
Data Specialist (EN),66637.05 to 68739.75
Business Intelligence Analyst (SE),66637.05 to 68739.75
Research Engineer (SE),66637.05 to 68739.75
Machine Learning Engineer (MI),66637.05 to 68739.75
Systems Engineer (MI),66637.05 to 68739.75
Python Developer (SE),66637.05 to 68739.75
Developer (SE),66637.05 to 68739.75
Data Visualization Specialist (MI),66637.05 to 68739.75
Manager (SE),66637.05 to 68739.75
Software Engineer (SE),66637.05 to 68739.75
Cloud Engineer (MI),66637.05 to 68739.75
Full Stack Developer (MI),66637.05 to 68739.75
Software Developer (SE),66637.05 to 68739.75
Research Analyst (MI),66637.05 to 68739.75
Research Analyst (SE),66637.05 to 68739.75
Power BI Specialist (MI),66637.05 to 68739.75
Research Engineer (MI),66637.05 to 68739.75
Analytics Engineer (MI),66637.05 to 68739.75
Data Quality Manager (MI),66637.05 to 68739.75
Data Lead (SE),66637.05 to 68739.75
Applied Data Scientist (SE),66637.05 to 68739.75
AI Researcher (MI),66637.05 to 68739.75
Computer Vision Engineer (MI),66637.05 to 68739.75
BI Engineer (MI),66637.05 to 68739.75
Insight Analyst (EN),66637.05 to 68739.75
Business Intelligence Data Analyst (MI),66637.05 to 68739.75
Data Integrity Analyst (EN),66637.05 to 68739.75
Research Associate (MI),66637.05 to 68739.75
Data Manager (EN),66637.05 to 68739.75
DevOps Engineer (SE),66637.05 to 68739.75
Business Intelligence Analyst (EN),66637.05 to 68739.75
Research Scientist (MI),66637.05 to 68739.75
Solutions Architect (SE),66637.05 to 68739.75
Product Manager (EN),66637.05 to 68739.75
Cloud Database Engineer (MI),66637.05 to 68739.75
Business Intelligence Developer (SE),66637.05 to 68739.75
Data Operations Analyst (MI),66637.05 to 68739.75
Bioinformatician (EN),66637.05 to 68739.75
Product Manager (MI),66637.05 to 68739.75
Business Intelligence Lead (MI),66637.05 to 68739.75
Business Intelligence (MI),66637.05 to 68739.75
Marketing Data Engineer (EN),66637.05 to 68739.75
AI Data Scientist (MI),66637.05 to 68739.75
Head of Data (EX),66637.05 to 68739.75
Software Developer (EN),66637.05 to 68739.75
Business Intelligence Engineer (MI),66637.05 to 68739.75
AI Developer (SE),66637.05 to 68739.75
Business Intelligence Engineer (SE),66637.05 to 68739.75
BI Analyst (EN),66637.05 to 68739.75
Data Product Manager (SE),66637.05 to 68739.75
Data Infrastructure Engineer (SE),66637.05 to 68739.75
AI Research Scientist (SE),66637.05 to 68739.75
Applied Research Scientist (SE),66637.05 to 68739.75
BI Data Analyst (SE),66637.05 to 68739.75
Product Manager (SE),66637.05 to 68739.75
Data Operations Associate (MI),66637.05 to 68739.75
Data Analyst (EN),64598.67 to 66637.05
Data Engineer (MI),64598.67 to 66637.05
Engineer (MI),64598.67 to 66637.05
Data Analyst (SE),64598.67 to 66637.05
Data Analyst (MI),64598.67 to 66637.05
Data Scientist (MI),64598.67 to 66637.05
Engineer (EN),64598.67 to 66637.05
Software Engineer (MI),64598.67 to 66637.05
Data Manager (SE),64598.67 to 66637.05
Consultant (MI),64598.67 to 66637.05
Data Scientist (EN),64598.67 to 66637.05
Platform Engineer (MI),64598.67 to 66637.05
Data Governance Analyst (MI),64598.67 to 66637.05
Analytics Engineer (MI),64598.67 to 66637.05
Developer (MI),64598.67 to 66637.05
Data Engineer (SE),64598.67 to 66637.05
Data Governance Architect (SE),64598.67 to 66637.05
Data Modeler (MI),64598.67 to 66637.05
Software Engineer (SE),64598.67 to 66637.05
Manager (MI),64598.67 to 66637.05
Analyst (SE),64598.67 to 66637.05
Associate (MI),64598.67 to 66637.05
Data Specialist (MI),64598.67 to 66637.05
Research Analyst (EN),64598.67 to 66637.05
Software Engineer (EN),64598.67 to 66637.05
Machine Learning Engineer (SE),64598.67 to 66637.05
Analytics Engineer (SE),64598.67 to 66637.05
Data Operations Analyst (EN),64598.67 to 66637.05
Machine Learning Research Engineer (EN),64598.67 to 66637.05
Analyst (MI),64598.67 to 66637.05
Analyst (EN),64598.67 to 66637.05
Data Analytics Consultant (MI),64598.67 to 66637.05
Engineer (EX),64598.67 to 66637.05
DevOps Engineer (EN),64598.67 to 66637.05
Research Engineer (MI),64598.67 to 66637.05
BI Analyst (MI),64598.67 to 66637.05
Data Operations Analyst (SE),64598.67 to 66637.05
Decision Scientist (MI),64598.67 to 66637.05
Data Engineer (EN),64598.67 to 66637.05
Research Analyst (MI),64598.67 to 66637.05
Consultant (EN),64598.67 to 66637.05
Power BI (MI),64598.67 to 66637.05
Analytics Engineer (EN),64598.67 to 66637.05
Data Strategist (MI),64598.67 to 66637.05
Business Intelligence Analyst (EN),64598.67 to 66637.05
Data Lead (SE),64598.67 to 66637.05
Machine Learning Engineer (MI),64598.67 to 66637.05
Engineer (SE),64598.67 to 66637.05
Data Architect (SE),64598.67 to 66637.05
Data Management Specialist (MI),64598.67 to 66637.05
Data Quality Analyst (EN),64598.67 to 66637.05
Manager (SE),64598.67 to 66637.05
Business Intelligence Developer (MI),64598.67 to 66637.05
Data Scientist (SE),64598.67 to 66637.05
Data Manager (MI),64598.67 to 66637.05
Data Analytics Specialist (MI),64598.67 to 66637.05
Data Management Analyst (EN),64598.67 to 66637.05
Data Management Analyst (MI),64598.67 to 66637.05
Developer (SE),64598.67 to 66637.05
Data Management Specialist (EN),64598.67 to 66637.05
Business Intelligence Engineer (SE),64598.67 to 66637.05
Business Intelligence Engineer (MI),64598.67 to 66637.05
Computer Vision Engineer (SE),64598.67 to 66637.05
Data Reporting Analyst (EN),64598.67 to 66637.05
Data Specialist (EN),64598.67 to 66637.05
Encounter Data Management Professional (MI),64598.67 to 66637.05
Consultant (SE),64598.67 to 66637.05
BI Developer (MI),64598.67 to 66637.05
Data Management Associate (MI),64598.67 to 66637.05
Analytics Lead (SE),64598.67 to 66637.05
Data Specialist (SE),64598.67 to 66637.05
AI Developer (SE),64598.67 to 66637.05
Business Analyst (SE),64598.67 to 66637.05
Data Operations Analyst (MI),64598.67 to 66637.05
Data Engineer (EX),64598.67 to 66637.05
Technical Writer (MI),64598.67 to 66637.05
Research Scientist (EN),64598.67 to 66637.05
Data Operations Specialist (MI),64598.67 to 66637.05
Bioinformatician (MI),64598.67 to 66637.05
Data Quality Lead (SE),64598.67 to 66637.05
Data Visualization Engineer (MI),64598.67 to 66637.05
Business Intelligence Analyst (MI),64598.67 to 66637.05
Research Engineer (EN),64598.67 to 66637.05
AI Developer (MI),64598.67 to 66637.05
Site Reliability Engineer (MI),64598.67 to 66637.05
Account Executive (EX),64598.67 to 66637.05
Python Developer (MI),64598.67 to 66637.05
Encounter Data Management Professional (EN),64598.67 to 66637.05
AI Specialist (MI),64598.67 to 66637.05
Power BI Developer (MI),64598.67 to 66637.05
Statistical Programmer (MI),64598.67 to 66637.05
Business Analyst (EN),64598.67 to 66637.05
Research Analyst (SE),64598.67 to 66637.05
Data Governance (MI),64598.67 to 66637.05
Business Intelligence (EN),64598.67 to 66637.05
Data Operations Engineer (SE),64598.67 to 66637.05
AI Research Scientist (MI),64598.67 to 66637.05
Machine Vision Engineer (MI),64598.67 to 66637.05
Manager (EN),64598.67 to 66637.05
Data Analytics Lead (SE),64598.67 to 66637.05
Business Intelligence Engineer (EN),64598.67 to 66637.05
Associate (EN),64598.67 to 66637.05
Data Quality Analyst (MI),64598.67 to 66637.05
Research Scientist (MI),64598.67 to 66637.05
BI Analyst (EN),64598.67 to 66637.05
Business Intelligence (MI),64598.67 to 66637.05
Software Developer (MI),64598.67 to 66637.05
Data Visualization Developer (MI),64598.67 to 66637.05
Robotics Engineer (SE),64598.67 to 66637.05
AI Engineer (MI),64598.67 to 66637.05
Data Operations Associate (MI),64598.67 to 66637.05
Research Associate (MI),64598.67 to 66637.05
Data Quality Analyst (SE),64598.67 to 66637.05
DataOps Engineer (SE),64598.67 to 66637.05
Data Governance Analyst (SE),64598.67 to 66637.05
NLP Engineer (SE),64598.67 to 66637.05
AI Scientist (SE),64598.67 to 66637.05
AI Engineer (SE),64598.67 to 66637.05
Applied Data Scientist (SE),64598.67 to 66637.05
AI Developer (EN),64598.67 to 66637.05
Data Integration Developer (MI),64598.67 to 66637.05
Bioinformatician (SE),64598.67 to 66637.05
Data Governance Analyst (EN),62622.65 to 64598.67
Data Engineer (MI),62622.65 to 64598.67
Engineer (SE),62622.65 to 64598.67
Data Analyst (EN),62622.65 to 64598.67
Data Analyst (MI),62622.65 to 64598.67
Data Scientist (MI),62622.65 to 64598.67
Data Specialist (MI),62622.65 to 64598.67
Data Manager (MI),62622.65 to 64598.67
Quantitative Analyst (EN),62622.65 to 64598.67
Architect (SE),62622.65 to 64598.67
Data Engineer (EX),62622.65 to 64598.67
Manager (SE),62622.65 to 64598.67
Data Engineer (SE),62622.65 to 64598.67
Consultant (MI),62622.65 to 64598.67
Data Architect (SE),62622.65 to 64598.67
Analyst (SE),62622.65 to 64598.67
Engineer (MI),62622.65 to 64598.67
Data Scientist (SE),62622.65 to 64598.67
Data Management Analyst (EN),62622.65 to 64598.67
Business Analyst (MI),62622.65 to 64598.67
Data Operations Specialist (MI),62622.65 to 64598.67
Data Analyst (SE),62622.65 to 64598.67
Data Engineer (EN),62622.65 to 64598.67
Analytics Specialist (SE),62622.65 to 64598.67
Research Associate (MI),62622.65 to 64598.67
Research Assistant (MI),62622.65 to 64598.67
Business Intelligence Developer (SE),62622.65 to 64598.67
Business Intelligence Analyst (EN),62622.65 to 64598.67
Business Intelligence (MI),62622.65 to 64598.67
Business Analyst (SE),62622.65 to 64598.67
Analyst (EN),62622.65 to 64598.67
Business Analyst (EN),62622.65 to 64598.67
Business Intelligence Developer (MI),62622.65 to 64598.67
Data Scientist (EN),62622.65 to 64598.67
Data Manager (SE),62622.65 to 64598.67
Data Governance Analyst (MI),62622.65 to 64598.67
Analytics Engineer (MI),62622.65 to 64598.67
Associate (MI),62622.65 to 64598.67
Postdoctoral Researcher (MI),62622.65 to 64598.67
Software Engineer (MI),62622.65 to 64598.67
Research Engineer (EN),62622.65 to 64598.67
Systems Engineer (MI),62622.65 to 64598.67
Research Engineer (MI),62622.65 to 64598.67
Actuarial Analyst (EN),62622.65 to 64598.67
Research Assistant (EN),62622.65 to 64598.67
Business Intelligence Developer (EN),62622.65 to 64598.67
Data Management Specialist (MI),62622.65 to 64598.67
Research Analyst (EN),62622.65 to 64598.67
Software Engineer (EN),62622.65 to 64598.67
Engineer (EN),62622.65 to 64598.67
Data Analytics Specialist (MI),62622.65 to 64598.67
Machine Learning Engineer (MI),62622.65 to 64598.67
Research Analyst (SE),62622.65 to 64598.67
Product Manager (MI),62622.65 to 64598.67
Data Quality Manager (MI),62622.65 to 64598.67
Insight Analyst (EN),62622.65 to 64598.67
Research Scientist (MI),62622.65 to 64598.67
Data Governance (MI),62622.65 to 64598.67
Data Integration Specialist (EN),62622.65 to 64598.67
Data Management Specialist (EN),62622.65 to 64598.67
Data Management Lead (SE),62622.65 to 64598.67
Software Developer (MI),62622.65 to 64598.67
Product Manager (EN),62622.65 to 64598.67
BI Analyst (EN),62622.65 to 64598.67
Developer (EN),62622.65 to 64598.67
Developer (MI),62622.65 to 64598.67
Statistical Programmer (MI),62622.65 to 64598.67
Machine Learning Scientist (MI),62622.65 to 64598.67
Research Associate (EN),62622.65 to 64598.67
AI Research Engineer (MI),62622.65 to 64598.67
Data Analytics Manager (MI),62622.65 to 64598.67
Data Specialist (EN),62622.65 to 64598.67
Power BI Developer (MI),62622.65 to 64598.67
Insight Analyst (SE),62622.65 to 64598.67
Backend Engineer (MI),62622.65 to 64598.67
Data Governance Lead (SE),62622.65 to 64598.67
Data Quality Analyst (EN),62622.65 to 64598.67
Enterprise Account Executive (SE),62622.65 to 64598.67
DevOps Engineer (MI),62622.65 to 64598.67
AI Research Scientist (EN),62622.65 to 64598.67
Software Engineer (SE),62622.65 to 64598.67
Data Infrastructure Engineer (SE),62622.65 to 64598.67
Machine Learning Engineer (SE),62622.65 to 64598.67
Analytics Engineer (SE),62622.65 to 64598.67
Data Operations Analyst (EN),62622.65 to 64598.67
ETL Developer (SE),62622.65 to 64598.67
Manager (MI),62622.65 to 64598.67
Statistical Programmer (SE),62622.65 to 64598.67
Cloud Engineer (MI),62622.65 to 64598.67
Data Visualization Specialist (MI),62622.65 to 64598.67
Research Analyst (MI),62622.65 to 64598.67
Data Management Specialist (SE),62622.65 to 64598.67
Associate (EN),62622.65 to 64598.67
Data Manager (MI),60707.07 to 62622.65
Analyst (MI),60707.07 to 62622.65
Data Analyst (EN),60707.07 to 62622.65
Business Intelligence Analyst (MI),60707.07 to 62622.65
Analyst (EN),60707.07 to 62622.65
Data Management Lead (SE),60707.07 to 62622.65
Systems Engineer (MI),60707.07 to 62622.65
Data Product Manager (MI),60707.07 to 62622.65
Data Engineer (SE),60707.07 to 62622.65
Business Intelligence Developer (MI),60707.07 to 62622.65
Data Analyst (EX),60707.07 to 62622.65
Machine Learning Engineer (MI),60707.07 to 62622.65
Data Scientist (SE),60707.07 to 62622.65
Data Specialist (MI),60707.07 to 62622.65
Data Analyst (MI),60707.07 to 62622.65
Data Engineer (MI),60707.07 to 62622.65
Data Analytics Consultant (SE),60707.07 to 62622.65
Insight Analyst (SE),60707.07 to 62622.65
Business Intelligence Developer (SE),60707.07 to 62622.65
BI Developer (MI),60707.07 to 62622.65
Research Scientist (SE),60707.07 to 62622.65
Analyst (SE),60707.07 to 62622.65
Engineer (MI),60707.07 to 62622.65
Data Scientist (MI),60707.07 to 62622.65
Insight Analyst (EN),60707.07 to 62622.65
Data Lead (SE),60707.07 to 62622.65
Data Management Specialist (MI),60707.07 to 62622.65
Engineer (SE),60707.07 to 62622.65
Data Analyst (SE),60707.07 to 62622.65
Consultant (MI),60707.07 to 62622.65
Business Intelligence Lead (SE),60707.07 to 62622.65
Associate (MI),60707.07 to 62622.65
Pricing Analyst (EN),60707.07 to 62622.65
Data Developer (SE),60707.07 to 62622.65
Power BI Developer (SE),60707.07 to 62622.65
Applied Scientist (SE),60707.07 to 62622.65
Data Team Lead (SE),60707.07 to 62622.65
Product Analyst (EN),60707.07 to 62622.65
Data Analytics Manager (MI),60707.07 to 62622.65
Research Associate (MI),60707.07 to 62622.65
Data Scientist (EN),60707.07 to 62622.65
BI Developer (SE),60707.07 to 62622.65
Cloud Engineer (MI),60707.07 to 62622.65
Associate (EN),60707.07 to 62622.65
Manager (MI),60707.07 to 62622.65
Quantitative Analyst (SE),60707.07 to 62622.65
Data Governance (EN),60707.07 to 62622.65
Business Analyst (EN),60707.07 to 62622.65
