job_xp,salary
Head of Data (EX),335203.86 to 345781.05
Software Engineer (SE),335203.86 to 345781.05
Machine Learning Engineer (MI),335203.86 to 345781.05
Engineering Manager (MI),335203.86 to 345781.05
Software Engineer (MI),335203.86 to 345781.05
Computer Vision Engineer (SE),335203.86 to 345781.05
Software Engineer (EX),335203.86 to 345781.05
Data Analytics Lead (SE),335203.86 to 345781.05
Director of Machine Learning (EX),335203.86 to 345781.05
Engineer (EX),335203.86 to 345781.05
Engineer (SE),335203.86 to 345781.05
Research Scientist (EN),335203.86 to 345781.05
Machine Learning Scientist (MI),335203.86 to 345781.05
Data Engineer (SE),335203.86 to 345781.05
AI Developer (EX),335203.86 to 345781.05
Research Engineer (MI),335203.86 to 345781.05
Data Scientist (SE),335203.86 to 345781.05
Systems Engineer (MI),335203.86 to 345781.05
Platform Engineer (EX),335203.86 to 345781.05
Data Scientist (EX),335203.86 to 345781.05
Data Engineer (MI),335203.86 to 345781.05
Architect (SE),335203.86 to 345781.05
Full Stack Engineer (SE),335203.86 to 345781.05
Artificial Intelligence Engineer (SE),335203.86 to 345781.05
MLOps Engineer (SE),335203.86 to 345781.05
DevOps Engineer (SE),335203.86 to 345781.05
Software Architect (SE),335203.86 to 345781.05
Site Reliability Engineer (SE),335203.86 to 345781.05
Engineer (MI),335203.86 to 345781.05
Backend Engineer (SE),335203.86 to 345781.05
AI Architect (SE),335203.86 to 345781.05
AI Engineer (SE),335203.86 to 345781.05
Platform Engineer (SE),335203.86 to 345781.05
AI Developer (SE),335203.86 to 345781.05
Applied Scientist (MI),335203.86 to 345781.05
Data Scientist (MI),335203.86 to 345781.05
Data Engineer (EX),335203.86 to 345781.05
Machine Learning Engineer (EX),335203.86 to 345781.05
Product Manager (MI),335203.86 to 345781.05
Head of Data (SE),335203.86 to 345781.05
Research Engineer (EN),335203.86 to 345781.05
Software Engineer (EN),335203.86 to 345781.05
Engineering Manager (SE),335203.86 to 345781.05
Master Data Management (EX),335203.86 to 345781.05
Data Engineer (SE),324950.22 to 335203.86
Data Architect (SE),324950.22 to 335203.86
Data Scientist (SE),324950.22 to 335203.86
Manager (SE),324950.22 to 335203.86
AI Engineer (EX),324950.22 to 335203.86
Software Engineer (SE),324950.22 to 335203.86
Engineer (EX),324950.22 to 335203.86
Engineer (MI),324950.22 to 335203.86
AI Engineer (MI),324950.22 to 335203.86
Research Scientist (SE),324950.22 to 335203.86
Machine Learning Engineer (SE),324950.22 to 335203.86
Data Engineer (EX),324950.22 to 335203.86
Engineer (SE),324950.22 to 335203.86
DevOps Engineer (SE),324950.22 to 335203.86
Research Engineer (SE),324950.22 to 335203.86
Engineering Manager (MI),324950.22 to 335203.86
Product Manager (SE),324950.22 to 335203.86
Machine Learning Engineer (MI),324950.22 to 335203.86
Software Engineer (MI),324950.22 to 335203.86
Manager (MI),324950.22 to 335203.86
Product Manager (EX),324950.22 to 335203.86
Data Scientist (MI),324950.22 to 335203.86
Deep Learning Engineer (SE),324950.22 to 335203.86
Research Scientist (MI),324950.22 to 335203.86
Platform Engineer (EX),324950.22 to 335203.86
Head of Machine Learning (EX),324950.22 to 335203.86
